goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkAttributeScan/Indexed/1000-10                               	   10000	    106388 ns/op	  286766 B/op	    2017 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	    9280	    108727 ns/op	  286775 B/op	    2017 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   12404	     97022 ns/op	  286743 B/op	    2016 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   12201	     99048 ns/op	  286744 B/op	    2016 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     954	   1168090 ns/op	 4524951 B/op	   20129 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     994	   1186749 ns/op	 4524515 B/op	   20125 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     879	   1207483 ns/op	 4525877 B/op	   20138 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     954	   1168267 ns/op	 4524952 B/op	   20129 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     985	   1189140 ns/op	 4524610 B/op	   20125 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	    1026	   1152851 ns/op	 4524191 B/op	   20121 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	    1018	   1148893 ns/op	 4524269 B/op	   20122 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	    1015	   1141516 ns/op	 4524299 B/op	   20122 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     991	   1151462 ns/op	 4524546 B/op	   20125 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     998	   1180798 ns/op	 4524473 B/op	   20124 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      94	  12360125 ns/op	52643410 B/op	  210701 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      98	  12364159 ns/op	52604060 B/op	  210265 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      91	  12624880 ns/op	52675192 B/op	  211052 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      78	  13241037 ns/op	52841181 B/op	  212889 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      98	  12062487 ns/op	52604061 B/op	  210265 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      90	  13022125 ns/op	52686260 B/op	  211175 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      97	  12494101 ns/op	52613593 B/op	  210371 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      93	  12443945 ns/op	52653776 B/op	  210815 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      98	  12123534 ns/op	52604058 B/op	  210265 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      96	  12439808 ns/op	52623330 B/op	  210478 allocs/op
PASS
ok  	github.com/wbrown/janus-datalog/datalog/executor	320.680s
